"filename", "language", "Dart", "comment", "blank", "total"
"/home/jumpee/Desktop/drinkify/lib/controllers/auth_controller.dart", "Dart", 72, 3, 6, 81
"/home/jumpee/Desktop/drinkify/lib/controllers/party_controller.dart", "Dart", 71, 4, 6, 81
"/home/jumpee/Desktop/drinkify/lib/controllers/party_creator_controller.dart", "Dart", 90, 5, 10, 105
"/home/jumpee/Desktop/drinkify/lib/controllers/search_controller.dart", "Dart", 59, 2, 6, 67
"/home/jumpee/Desktop/drinkify/lib/controllers/user_controller.dart", "Dart", 131, 6, 16, 153
"/home/jumpee/Desktop/drinkify/lib/main.dart", "Dart", 43, 0, 8, 51
"/home/jumpee/Desktop/drinkify/lib/models/create_user.dart", "Dart", 24, 0, 4, 28
"/home/jumpee/Desktop/drinkify/lib/models/friend.dart", "Dart", 42, 0, 7, 49
"/home/jumpee/Desktop/drinkify/lib/models/friend_invitiation.dart", "Dart", 27, 0, 4, 31
"/home/jumpee/Desktop/drinkify/lib/models/party.dart", "Dart", 53, 0, 6, 59
"/home/jumpee/Desktop/drinkify/lib/models/party_invitation.dart", "Dart", 25, 0, 4, 29
"/home/jumpee/Desktop/drinkify/lib/models/party_request.dart", "Dart", 25, 0, 4, 29
"/home/jumpee/Desktop/drinkify/lib/models/search_type.dart", "Dart", 4, 0, 1, 5
"/home/jumpee/Desktop/drinkify/lib/models/token_obtain_pair.dart", "Dart", 8, 0, 2, 10
"/home/jumpee/Desktop/drinkify/lib/models/token_refresh.dart", "Dart", 8, 0, 2, 10
"/home/jumpee/Desktop/drinkify/lib/models/user.dart", "Dart", 51, 0, 7, 58
"/home/jumpee/Desktop/drinkify/lib/routes/create_party_page.dart", "Dart", 632, 5, 26, 663
"/home/jumpee/Desktop/drinkify/lib/routes/create_party_routes/description_page.dart", "Dart", 81, 0, 4, 85
"/home/jumpee/Desktop/drinkify/lib/routes/create_party_routes/invite_friends_page.dart", "Dart", 139, 0, 9, 148
"/home/jumpee/Desktop/drinkify/lib/routes/friend_list.dart", "Dart", 97, 0, 8, 105
"/home/jumpee/Desktop/drinkify/lib/routes/home_page.dart", "Dart", 62, 1, 7, 70
"/home/jumpee/Desktop/drinkify/lib/routes/login_page.dart", "Dart", 254, 0, 10, 264
"/home/jumpee/Desktop/drinkify/lib/routes/notification_routes/friend_invitations_page.dart", "Dart", 129, 0, 6, 135
"/home/jumpee/Desktop/drinkify/lib/routes/notification_routes/party_invitations_page.dart", "Dart", 129, 0, 6, 135
"/home/jumpee/Desktop/drinkify/lib/routes/notification_routes/party_requests_page.dart", "Dart", 13, 0, 4, 17
"/home/jumpee/Desktop/drinkify/lib/routes/notifications_page.dart", "Dart", 103, 0, 9, 112
"/home/jumpee/Desktop/drinkify/lib/routes/parties_users_page.dart", "Dart", 147, 0, 9, 156
"/home/jumpee/Desktop/drinkify/lib/routes/party_info_page.dart", "Dart", 17, 1, 4, 22
"/home/jumpee/Desktop/drinkify/lib/routes/profile_page.dart", "Dart", 70, 0, 10, 80
"/home/jumpee/Desktop/drinkify/lib/routes/register_page.dart", "Dart", 340, 1, 13, 354
"/home/jumpee/Desktop/drinkify/lib/routes/selected_party_page.dart", "Dart", 308, 5, 17, 330
"/home/jumpee/Desktop/drinkify/lib/routes/settings_page.dart", "Dart", 137, 0, 5, 142
"/home/jumpee/Desktop/drinkify/lib/routes/settings_routes/edit_profile_page.dart", "Dart", 279, 3, 12, 294
"/home/jumpee/Desktop/drinkify/lib/routes/settings_routes/log_out_page.dart", "Dart", 88, 0, 4, 92
"/home/jumpee/Desktop/drinkify/lib/routes/settings_routes/organization_page.dart", "Dart", 83, 0, 6, 89
"/home/jumpee/Desktop/drinkify/lib/utils/consts.dart", "Dart", 2, 0, 2, 4
"/home/jumpee/Desktop/drinkify/lib/utils/ext.dart", "Dart", 87, 7, 14, 108
"/home/jumpee/Desktop/drinkify/lib/utils/router.dart", "Dart", 198, 2, 10, 210
"/home/jumpee/Desktop/drinkify/lib/utils/theming.dart", "Dart", 10, 0, 3, 13
"/home/jumpee/Desktop/drinkify/lib/widgets/createpartypage/datetime_fields.dart", "Dart", 202, 0, 8, 210
"/home/jumpee/Desktop/drinkify/lib/widgets/createpartypage/form_field_party.dart", "Dart", 125, 0, 6, 131
"/home/jumpee/Desktop/drinkify/lib/widgets/createpartypage/invite_friends.dart", "Dart", 121, 1, 8, 130
"/home/jumpee/Desktop/drinkify/lib/widgets/createpartypage/party_status.dart", "Dart", 103, 1, 9, 113
"/home/jumpee/Desktop/drinkify/lib/widgets/custom_floating_button.dart", "Dart", 46, 0, 4, 50
"/home/jumpee/Desktop/drinkify/lib/widgets/dialogs/account_delete_confirm.dart", "Dart", 88, 0, 4, 92
"/home/jumpee/Desktop/drinkify/lib/widgets/dialogs/image_picker_sheet.dart", "Dart", 67, 0, 5, 72
"/home/jumpee/Desktop/drinkify/lib/widgets/dialogs/no_maps_dialog.dart", "Dart", 77, 0, 5, 82
"/home/jumpee/Desktop/drinkify/lib/widgets/dialogs/notification_sheet.dart", "Dart", 79, 2, 4, 85
"/home/jumpee/Desktop/drinkify/lib/widgets/dialogs/party_options_sheet.dart", "Dart", 81, 0, 5, 86
"/home/jumpee/Desktop/drinkify/lib/widgets/dialogs/success_sheet.dart", "Dart", 53, 1, 4, 58
"/home/jumpee/Desktop/drinkify/lib/widgets/edit_field.dart", "Dart", 174, 1, 13, 188
"/home/jumpee/Desktop/drinkify/lib/widgets/glass_morphism.dart", "Dart", 36, 0, 4, 40
"/home/jumpee/Desktop/drinkify/lib/widgets/homepage/date_picker.dart", "Dart", 182, 3, 16, 201
"/home/jumpee/Desktop/drinkify/lib/widgets/homepage/date_row.dart", "Dart", 228, 1, 16, 245
"/home/jumpee/Desktop/drinkify/lib/widgets/homepage/party_list.dart", "Dart", 102, 0, 6, 108
"/home/jumpee/Desktop/drinkify/lib/widgets/homepage/welcome_header.dart", "Dart", 63, 0, 4, 67
"/home/jumpee/Desktop/drinkify/lib/widgets/navbar.dart", "Dart", 125, 0, 11, 136
"/home/jumpee/Desktop/drinkify/lib/widgets/notificationspage/category_row.dart", "Dart", 46, 0, 5, 51
"/home/jumpee/Desktop/drinkify/lib/widgets/partiespage/party_holder.dart", "Dart", 138, 6, 9, 153
"/home/jumpee/Desktop/drinkify/lib/widgets/partiespage/search_and_map.dart", "Dart", 245, 5, 16, 266
"/home/jumpee/Desktop/drinkify/lib/widgets/partiespage/user_holder.dart", "Dart", 61, 0, 5, 66
"/home/jumpee/Desktop/drinkify/lib/widgets/profilepage/user_info.dart", "Dart", 124, 3, 10, 137
"/home/jumpee/Desktop/drinkify/lib/widgets/selectedpartypage/party_desc.dart", "Dart", 29, 0, 4, 33
"/home/jumpee/Desktop/drinkify/lib/widgets/selectedpartypage/party_header.dart", "Dart", 172, 4, 17, 193
"/home/jumpee/Desktop/drinkify/lib/widgets/settingsroutes/organization_element.dart", "Dart", 13, 0, 4, 17
"Total", "-", 6918, 73, 493, 7484
