"filename", "language", "Dart", "comment", "blank", "total"
"/home/jumpee/Desktop/drinkify/lib/controllers/auth_controller.dart", "Dart", 48, 1, 6, 55
"/home/jumpee/Desktop/drinkify/lib/main.dart", "Dart", 49, 0, 6, 55
"/home/jumpee/Desktop/drinkify/lib/models/create_user.dart", "Dart", 23, 0, 3, 26
"/home/jumpee/Desktop/drinkify/lib/models/friend.dart", "Dart", 16, 0, 2, 18
"/home/jumpee/Desktop/drinkify/lib/models/friend_invitiation.dart", "Dart", 17, 0, 3, 20
"/home/jumpee/Desktop/drinkify/lib/models/party.dart", "Dart", 37, 0, 5, 42
"/home/jumpee/Desktop/drinkify/lib/models/party_invitation.dart", "Dart", 16, 0, 3, 19
"/home/jumpee/Desktop/drinkify/lib/models/party_request.dart", "Dart", 16, 0, 3, 19
"/home/jumpee/Desktop/drinkify/lib/models/token_obtain_pair.dart", "Dart", 8, 0, 2, 10
"/home/jumpee/Desktop/drinkify/lib/models/token_refresh.dart", "Dart", 8, 0, 2, 10
"/home/jumpee/Desktop/drinkify/lib/models/user.dart", "Dart", 23, 0, 3, 26
"/home/jumpee/Desktop/drinkify/lib/routes/create_party_page.dart", "Dart", 70, 0, 9, 79
"/home/jumpee/Desktop/drinkify/lib/routes/create_party_routes/choose_location_page.dart", "Dart", 289, 1, 19, 309
"/home/jumpee/Desktop/drinkify/lib/routes/create_party_routes/date_and_time_page.dart", "Dart", 304, 3, 23, 330
"/home/jumpee/Desktop/drinkify/lib/routes/create_party_routes/description_page.dart", "Dart", 173, 2, 11, 186
"/home/jumpee/Desktop/drinkify/lib/routes/create_party_routes/invite_friends_page.dart", "Dart", 234, 2, 12, 248
"/home/jumpee/Desktop/drinkify/lib/routes/create_party_routes/on_create_dialog.dart", "Dart", 8, 0, 3, 11
"/home/jumpee/Desktop/drinkify/lib/routes/create_party_routes/title_page.dart", "Dart", 505, 5, 39, 549
"/home/jumpee/Desktop/drinkify/lib/routes/home_page.dart", "Dart", 43, 1, 5, 49
"/home/jumpee/Desktop/drinkify/lib/routes/login_page.dart", "Dart", 271, 0, 12, 283
"/home/jumpee/Desktop/drinkify/lib/routes/notifications_page.dart", "Dart", 139, 2, 8, 149
"/home/jumpee/Desktop/drinkify/lib/routes/parties_page.dart", "Dart", 56, 0, 5, 61
"/home/jumpee/Desktop/drinkify/lib/routes/profile_page.dart", "Dart", 41, 0, 4, 45
"/home/jumpee/Desktop/drinkify/lib/routes/register_page.dart", "Dart", 341, 1, 13, 355
"/home/jumpee/Desktop/drinkify/lib/routes/selected_party_page.dart", "Dart", 276, 6, 18, 300
"/home/jumpee/Desktop/drinkify/lib/routes/settings_page.dart", "Dart", 116, 0, 6, 122
"/home/jumpee/Desktop/drinkify/lib/routes/settings_routes/edit_profile_page.dart", "Dart", 302, 0, 13, 315
"/home/jumpee/Desktop/drinkify/lib/routes/settings_routes/log_out_page.dart", "Dart", 72, 0, 4, 76
"/home/jumpee/Desktop/drinkify/lib/routes/settings_routes/organization_page.dart", "Dart", 36, 1, 5, 42
"/home/jumpee/Desktop/drinkify/lib/routes/settings_routes/privacy_page.dart", "Dart", 51, 0, 4, 55
"/home/jumpee/Desktop/drinkify/lib/utils/consts.dart", "Dart", 2, 0, 2, 4
"/home/jumpee/Desktop/drinkify/lib/utils/ext.dart", "Dart", 21, 1, 5, 27
"/home/jumpee/Desktop/drinkify/lib/utils/locale_support.dart", "Dart", 8, 0, 3, 11
"/home/jumpee/Desktop/drinkify/lib/utils/router.dart", "Dart", 197, 2, 12, 211
"/home/jumpee/Desktop/drinkify/lib/utils/theming.dart", "Dart", 100, 0, 23, 123
"/home/jumpee/Desktop/drinkify/lib/widgets/custom_floating_button.dart", "Dart", 39, 0, 3, 42
"/home/jumpee/Desktop/drinkify/lib/widgets/glass_morphism.dart", "Dart", 34, 0, 4, 38
"/home/jumpee/Desktop/drinkify/lib/widgets/homepage/date_picker.dart", "Dart", 157, 3, 14, 174
"/home/jumpee/Desktop/drinkify/lib/widgets/homepage/date_row.dart", "Dart", 183, 1, 17, 201
"/home/jumpee/Desktop/drinkify/lib/widgets/homepage/party_holder.dart", "Dart", 24, 0, 3, 27
"/home/jumpee/Desktop/drinkify/lib/widgets/homepage/party_list.dart", "Dart", 36, 1, 5, 42
"/home/jumpee/Desktop/drinkify/lib/widgets/homepage/welcome_header.dart", "Dart", 54, 0, 4, 58
"/home/jumpee/Desktop/drinkify/lib/widgets/navbar.dart", "Dart", 117, 0, 11, 128
"/home/jumpee/Desktop/drinkify/lib/widgets/partiespage/party_holder.dart", "Dart", 125, 6, 10, 141
"/home/jumpee/Desktop/drinkify/lib/widgets/partiespage/search_and_map.dart", "Dart", 130, 4, 14, 148
"/home/jumpee/Desktop/drinkify/lib/widgets/profilepage/parties.dart", "Dart", 36, 0, 4, 40
"/home/jumpee/Desktop/drinkify/lib/widgets/profilepage/user_info.dart", "Dart", 160, 10, 13, 183
"/home/jumpee/Desktop/drinkify/lib/widgets/selectedpartypage/no_maps_dialog.dart", "Dart", 73, 0, 6, 79
"/home/jumpee/Desktop/drinkify/lib/widgets/selectedpartypage/party_desc.dart", "Dart", 27, 0, 4, 31
"/home/jumpee/Desktop/drinkify/lib/widgets/selectedpartypage/party_header.dart", "Dart", 154, 4, 18, 176
"Total", "-", 5265, 57, 426, 5748
